startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2007,Rent,Nederlander,Musical,7077,75,405684,8
2007,Spring Awakening,Eugene O'Neill,Musical,6858,79,517563,8
2007,Talk Radio,Longacre,Play,4494,51,267922,8
2007,Tarzan,Richard Rodgers,Musical,9333,88,647369,8
2007,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4335,79,239330,8
2007,The Coast Of Utopia,Vivian Beaumont,Play,6530,89,550554,7
2007,The Color Purple,Broadway,Musical,11138,81,770431,8
2007,The Drowsy Chaperone,Marquis,Musical,9587,74,711953,8
2007,The Lion King,Minskoff,Musical,13235,100,1193494,8
2007,The Phantom Of The Opera,Majestic,Musical,12264,95,778317,8
2007,The Pirate Queen,Hilton Theatre,Musical,11613,81,663265,0
2007,The Producers,St. James,Musical,7996,59,485435,8
2007,The Year Of Magical Thinking,Booth,Play,4361,80,335730,4
2007,Wicked,Gershwin,Musical,14472,100,1392168,8
2007,A Chorus Line '06,Schoenfeld,Musical,8429,99,793068,8
2007,A Moon For The Misbegotten 07,Brooks Atkinson,Play,8012,97,577296,0
2007,Avenue Q,Golden,Musical,5952,93,421108,8
2007,Beauty And The Beast,Lunt-Fontanne,Musical,12044,100,944373,8
2007,Chicago,Ambassador,Musical,8561,99,665092,8
2007,Company 06,Ethel Barrymore,Musical,5091,61,305732,8
2007,Curtains,Al Hirschfeld,Musical,10025,88,806741,8
2007,Frost/Nixon,Jacobs,Play,5090,66,267283,0
2007,Grey Gardens,Walter Kerr,Musical,4588,62,237144,8
2007,Hairspray,Neil Simon,Musical,11211,98,855176,8
2007,Inherit The Wind 07,Lyceum,Play,6174,83,416728,0
2007,Jersey Boys,August Wilson,Musical,9849,101,1177721,8
2007,Journey'S End,Belasco,Play,2888,35,150828,8
2007,Legally Blonde,Palace,Musical,12683,97,794498,0
2007,Les Miserables 2006,Broadhurst,Musical,8831,98,700786,8
2007,Mamma Mia!,Winter Garden,Musical,12079,101,1051224,8
2007,Mary Poppins,New Amsterdam,Musical,14452,101,1275138,8
2007,Monty Python'S Spamalot,Shubert,Musical,11539,100,984873,8
2007,Prelude To A Kiss 2007,American Airlines,Play,4034,68,175572,8
2007,Rent,Nederlander,Musical,9243,98,548554,8
2007,Spring Awakening,Eugene O'Neill,Musical,7615,87,589502,8
2007,Talk Radio,Longacre,Play,4503,51,278990,8
2007,Tarzan,Richard Rodgers,Musical,10252,97,863172,8
2007,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,5187,95,307619,8
2007,The Coast Of Utopia,Vivian Beaumont,Play,6716,92,563793,7
2007,The Color Purple,Broadway,Musical,12391,90,817125,8
2007,The Drowsy Chaperone,Marquis,Musical,11784,91,878790,8
